# Filename: ILATM2_20150408_135738_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_20150408_135738.atm5aT3.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 150408_c130_l12_cfm_itrf08_28may15_meth
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
50198.75, 66.346858, 322.077738, 50.6149, 0.0477841, -0.0153216, 262.60, 523, 10, 36, 1
50198.75, 66.345846, 322.077475, 49.6695, -0.0129597, -0.0628138, 215.92, 303, 3, -77, 2
50198.75, 66.344834, 322.077212, 50.3026, -0.0371203, -0.0415730, 244.36, 562, 0, -190, 3
50198.75, 66.346538, 322.077655, 49.1720, 0.0325615, -0.0520351, 155.25, 228, 17, 0, 0
50199.00, 66.346874, 322.077007, 51.8738, 0.0189694, -0.0094866, 252.69, 548, 14, 34, 1
50199.00, 66.345858, 322.076738, 51.8600, -0.0168158, -0.0932014, 229.23, 313, 3, -79, 2
50199.00, 66.344842, 322.076469, 49.7806, -0.0245304, 0.0636532, 204.92, 538, 11, -193, 3
50199.00, 66.346568, 322.076926, 51.1522, 0.0437990, -0.0377070, 236.53, 233, 14, 0, 0
50199.25, 66.346889, 322.076277, 52.1052, 0.0018545, 0.0170006, 236.52, 564, 5, 32, 1
50199.25, 66.345876, 322.076003, 53.4937, -0.0169853, -0.0160223, 215.89, 315, 0, -81, 2
50199.25, 66.344863, 322.075730, 48.5396, 0.0070542, 0.0013953, 67.30, 497, 54, -194, 3
50199.25, 66.346600, 322.076199, 51.7743, 0.0383924, -0.0026195, 247.99, 253, 5, 0, 0
50199.50, 66.346919, 322.075549, 50.9865, -0.0024231, 0.0408159, 234.81, 537, 0, 32, 1
50199.50, 66.345906, 322.075271, 51.7596, -0.0212826, 0.1081832, 205.15, 291, 2, -81, 2
50199.50, 66.344893, 322.074993, 49.6611, 0.0061854, -0.0554185, 187.21, 544, 3, -194, 3
50199.50, 66.346632, 322.075470, 50.6652, 0.0124476, 0.0644603, 228.01, 234, 0, 0, 0
50199.75, 66.346946, 322.074820, 49.4532, -0.0015303, 0.0400632, 165.63, 517, 6, 32, 1
50199.75, 66.345936, 322.074538, 49.7417, -0.0191955, -0.0035551, 180.85, 283, 10, -81, 2
50199.75, 66.344925, 322.074256, 51.2697, -0.0268913, -0.0783610, 246.14, 522, 2, -195, 3
50199.75, 66.346664, 322.074741, 49.2949, -0.0079146, 0.0031023, 154.76, 213, 4, 0, 0
50200.00, 66.346982, 322.074093, 49.2924, 0.0109976, -0.0297282, 176.35, 516, 29, 32, 1
50200.00, 66.345978, 322.073810, 50.1561, -0.0570818, -0.0209720, 187.76, 295, 7, -80, 2
50200.00, 66.344974, 322.073528, 53.4586, -0.0034787, -0.0377987, 402.63, 523, 0, -193, 3
50200.00, 66.346697, 322.074013, 49.0186, 0.0052784, -0.0019337, 152.78, 242, 4, 0, 0
50200.25, 66.347028, 322.073369, 49.3424, 0.0058905, 0.0338244, 180.44, 524, 22, 33, 1
50200.25, 66.346016, 322.073077, 50.9430, -0.0228238, -0.0193385, 338.08, 307, 0, -80, 2
50200.25, 66.345005, 322.072785, 53.3520, 0.0411542, 0.0842859, 432.59, 528, 2, -193, 3
50200.25, 66.346731, 322.073283, 48.9746, 0.0143481, 0.0099077, 133.20, 257, 0, 0, 0
50200.50, 66.347074, 322.072644, 49.4848, -0.0001165, -0.0245974, 173.29, 515, 15, 35, 1
50200.50, 66.346058, 322.072346, 51.0929, 0.0061902, 0.0340373, 358.28, 310, 0, -79, 2
50200.50, 66.345042, 322.072048, 48.6826, -0.0002566, 0.0138292, 102.62, 469, 60, -193, 3
50200.50, 66.346765, 322.072553, 49.4612, 0.0403886, -0.0209934, 179.96, 241, 8, 0, 0
50200.75, 66.347126, 322.071921, 50.4654, -0.0041919, -0.0132746, 217.98, 526, 4, 37, 1
50200.75, 66.346106, 322.071616, 49.9882, -0.0190620, 0.0455983, 264.46, 306, 2, -78, 2
50200.75, 66.345086, 322.071312, 48.3686, 0.0015833, -0.0009698, 50.79, 491, 48, -192, 3
50200.75, 66.346800, 322.071823, 50.1119, 0.0348311, 0.0086693, 252.62, 243, 0, 0, 0
50201.00, 66.347184, 322.071199, 49.5822, -0.0054138, 0.0372775, 164.52, 527, 8, 39, 1
50201.00, 66.346162, 322.070889, 49.4635, -0.0231476, -0.0110104, 205.60, 310, 7, -75, 2
50201.00, 66.345140, 322.070579, 49.0549, -0.0027126, -0.0231977, 164.46, 521, 13, -190, 3
50201.00, 66.346835, 322.071093, 49.1808, 0.0017840, 0.0202649, 163.68, 226, 8, 0, 0
50201.25, 66.347242, 322.070477, 48.6846, 0.0004589, -0.0081855, 107.22, 510, 29, 42, 1
50201.25, 66.346220, 322.070162, 48.7738, -0.0103250, 0.0218369, 134.61, 267, 23, -73, 2
50201.25, 66.345198, 322.069847, 49.0228, -0.0176803, 0.0113498, 172.87, 510, 8, -187, 3
50201.25, 66.346871, 322.070363, 48.7440, 0.0114740, 0.0019442, 127.11, 216, 14, 0, 0
50201.50, 66.347307, 322.069757, 48.8752, -0.0086741, 0.0000000, 111.69, 525, 29, 45, 1
50201.50, 66.346287, 322.069437, 48.5399, 0.0022893, -0.0147539, 89.87, 274, 13, -70, 2
50201.50, 66.345266, 322.069116, 48.6619, -0.0063352, 0.0128140, 120.90, 490, 39, -184, 3
50201.50, 66.346907, 322.069631, 49.2037, 0.0212078, -0.0148960, 156.33, 228, 7, 0, 0
50201.75, 66.347370, 322.069036, 48.6412, -0.0066915, 0.0042960, 85.36, 521, 24, 48, 1
50201.75, 66.346347, 322.068711, 49.1141, 0.0006402, -0.0005548, 144.19, 297, 12, -67, 2
50201.75, 66.345325, 322.068387, 53.3868, -0.0079926, -0.2891423, 491.52, 539, 0, -181, 3
50201.75, 66.346944, 322.068901, 49.1047, 0.0110006, 0.0288220, 145.07, 228, 12, 0, 0
50202.00, 66.347435, 322.068315, 48.3845, 0.0016794, -0.0028385, 62.27, 515, 21, 51, 1
50202.00, 66.346418, 322.067988, 48.7292, -0.0020524, 0.0093244, 109.11, 286, 23, -63, 2
50202.00, 66.345401, 322.067662, 58.0011, -0.1836391, -0.1405761, 711.34, 530, 0, -177, 3
50202.00, 66.346982, 322.068169, 48.2686, 0.0031055, 0.0040595, 47.84, 221, 26, 0, 0
50202.25, 66.347497, 322.067593, 48.8006, 0.0047631, -0.0215855, 98.65, 501, 48, 53, 1
50202.25, 66.346500, 322.067268, 48.3192, -0.0038050, -0.0008046, 57.08, 282, 29, -58, 2
50202.25, 66.345504, 322.066944, 54.0334, -0.2289297, 0.2187140, 539.38, 527, 2, -170, 3
50202.25, 66.347020, 322.067438, 48.1846, 0.0036431, 0.0007673, 34.46, 220, 25, 0, 0
50202.50, 66.347556, 322.066871, 49.9826, 0.0231442, -0.0149710, 226.05, 515, 16, 56, 1
50202.50, 66.346552, 322.066538, 48.4839, -0.0067022, -0.0076584, 74.14, 284, 24, -57, 2
50202.50, 66.345547, 322.066205, 51.9513, -0.0972081, -0.0235898, 350.66, 529, 4, -170, 3
50202.50, 66.347059, 322.066706, 48.7902, 0.0266648, -0.0097474, 96.03, 222, 5, 0, 0
50202.75, 66.347628, 322.066151, 49.6906, 0.0103300, 0.0332708, 178.33, 509, 17, 59, 1
50202.75, 66.346620, 322.065812, 49.4268, -0.0020903, -0.0417811, 171.95, 275, 10, -54, 2
50202.75, 66.345611, 322.065474, 51.1450, -0.0623833, 0.1238958, 373.29, 545, 0, -167, 3
50202.75, 66.347098, 322.065973, 49.2537, 0.0083357, -0.0116105, 150.04, 204, 5, 0, 0
50203.00, 66.347686, 322.065426, 49.8632, 0.0004590, -0.0269229, 166.05, 522, 20, 62, 1
50203.00, 66.346670, 322.065082, 53.2318, 0.0122720, -0.1700308, 256.80, 287, 10, -52, 2
50203.00, 66.345655, 322.064737, 49.6672, 0.0087901, 0.0006395, 210.26, 521, 26, -166, 3
50203.00, 66.347138, 322.065240, 51.6915, -0.0581740, -0.1140487, 286.02, 218, 0, 0, 0
50203.25, 66.347748, 322.064702, 51.0503, -0.0269847, -0.0123930, 221.15, 535, 10, 64, 1
50203.25, 66.346731, 322.064355, 55.5290, 0.0343925, 0.0237352, 273.71, 300, 16, -50, 2
50203.25, 66.345714, 322.064007, 50.6942, 0.0391787, -0.0113339, 216.48, 537, 13, -164, 3
50203.25, 66.347178, 322.064508, 54.9644, -0.0705289, -0.0914041, 320.03, 236, 0, 0, 0
50203.50, 66.347812, 322.063979, 52.5477, -0.0764080, -0.0498250, 259.91, 526, 15, 67, 1
50203.50, 66.346800, 322.063630, 55.4390, 0.0725795, -0.0172795, 192.20, 309, 4, -47, 2
50203.50, 66.345788, 322.063281, 51.3867, 0.0442616, -0.0047994, 253.84, 562, 8, -161, 3
50203.50, 66.347219, 322.063774, 57.7139, 0.0145439, -0.0749868, 285.78, 233, 0, 0, 0
50203.75, 66.347870, 322.063254, 55.5399, -0.1329975, -0.0915434, 357.15, 528, 22, 69, 1
50203.75, 66.346860, 322.062901, 56.4035, 0.0459936, -0.0176675, 223.56, 306, 3, -45, 2
50203.75, 66.345849, 322.062548, 51.5220, 0.0398015, 0.0099561, 303.55, 554, 5, -158, 3
50203.75, 66.347260, 322.063041, 59.0673, 0.0784472, 0.0374735, 159.62, 221, 5, 0, 0
50204.00, 66.347928, 322.062528, 58.5017, -0.1466606, -0.0927599, 490.14, 547, 8, 70, 1
50204.00, 66.346919, 322.062173, 57.8880, 0.0271704, -0.0508107, 247.83, 291, 8, -43, 2
50204.00, 66.345910, 322.061817, 49.2804, -0.0017755, 0.0138907, 150.79, 502, 43, -156, 3
50204.00, 66.347301, 322.062307, 59.4051, 0.0780232, -0.0180559, 199.77, 209, 3, 0, 0
50204.25, 66.347973, 322.061797, 60.8216, -0.0304445, -0.1472773, 598.98, 514, 0, 71, 1
50204.25, 66.346972, 322.061441, 59.6872, 0.0711012, -0.0562806, 494.65, 269, 0, -42, 2
50204.25, 66.345971, 322.061086, 49.1042, 0.0027609, -0.0151112, 114.42, 521, 20, -154, 3
50204.25, 66.347343, 322.061573, 60.3688, -0.0071053, -0.0040517, 252.72, 185, 6, 0, 0
50204.50, 66.348019, 322.061065, 60.8266, 0.0776564, 0.0825399, 191.88, 478, 29, 71, 1
50204.50, 66.347023, 322.060709, 59.5324, 0.1266019, 0.0745275, 627.08, 281, 0, -41, 2
50204.50, 66.346026, 322.060354, 49.3189, -0.0140718, -0.0201507, 185.85, 515, 17, -153, 3
50204.50, 66.347385, 322.060839, 61.6158, -0.0909379, -0.0517605, 207.64, 211, 3, 0, 0
50204.75, 66.348078, 322.060338, 58.7211, 0.0527392, 0.0895316, 162.32, 504, 11, 73, 1
50204.75, 66.347081, 322.059980, 57.7708, 0.1153815, 0.0709129, 542.87, 322, 0, -39, 2
50204.75, 66.346084, 322.059621, 50.8153, -0.0134835, -0.0770028, 277.33, 537, 0, -151, 3
50204.75, 66.347427, 322.060105, 60.9279, -0.0841233, 0.0523011, 275.68, 237, 4, 0, 0
50205.00, 66.348136, 322.059611, 60.6282, -0.0170294, -0.0978985, 352.39, 514, 0, 75, 1
50205.00, 66.347141, 322.059251, 56.4173, 0.0378784, 0.0578352, 491.72, 318, 0, -37, 2
50205.00, 66.346147, 322.058890, 52.4995, 0.0030841, -0.0234174, 334.02, 539, 0, -149, 3
50205.00, 66.347470, 322.059370, 58.6119, 0.0981368, 0.0642759, 464.15, 231, 0, 0, 0
50205.25, 66.348185, 322.058880, 64.8313, -0.0622919, -0.1133528, 342.88, 500, 3, 75, 1
50205.25, 66.347192, 322.058518, 55.8560, 0.0048133, 0.0052074, 452.51, 313, 0, -36, 2
50205.25, 66.346199, 322.058155, 54.6802, 0.0314284, -0.0844280, 381.19, 531, 0, -148, 3
50205.25, 66.347513, 322.058635, 58.2316, 0.1698489, -0.0011141, 496.52, 228, 0, 0, 0
50205.50, 66.348234, 322.058150, 63.3388, -0.0564304, 0.1254386, 366.28, 491, 11, 76, 1
50205.50, 66.347242, 322.057783, 55.5712, -0.0018613, -0.0002644, 366.14, 304, 2, -35, 2
50205.50, 66.346250, 322.057416, 57.3057, 0.0710829, -0.0210967, 409.29, 518, 0, -147, 3
50205.50, 66.347557, 322.057899, 57.4719, 0.0740942, 0.0546565, 534.38, 221, 0, 0, 0
50205.75, 66.348299, 322.057424, 57.9528, -0.0117795, 0.1443134, 385.99, 491, 3, 79, 1
50205.75, 66.347301, 322.057054, 58.4551, 0.0823547, -0.1590363, 366.11, 284, 7, -34, 2
50205.75, 66.346302, 322.056683, 59.0731, 0.1328614, -0.0007836, 473.27, 505, 0, -146, 3
50205.75, 66.347600, 322.057165, 59.0392, 0.0148733, -0.1372066, 640.67, 213, 0, 0, 0
50206.00, 66.348345, 322.056690, 53.8322, -0.0492156, 0.1555724, 441.23, 480, 0, 79, 1
50206.00, 66.347348, 322.056319, 62.4617, 0.0874448, -0.0359271, 326.96, 273, 5, -33, 2
50206.00, 66.346352, 322.055947, 59.5134, 0.1581838, 0.0596007, 490.32, 506, 1, -145, 3
50206.00, 66.347644, 322.056429, 62.6752, -0.0399973, -0.0635578, 585.61, 198, 0, 0, 0
50206.25, 66.348392, 322.055958, 52.7420, -0.1016911, -0.0314902, 330.01, 499, 2, 79, 1
50206.25, 66.347396, 322.055584, 63.1087, 0.0104393, -0.0039249, 215.12, 284, 4, -33, 2
50206.25, 66.346401, 322.055209, 59.1096, 0.1841621, 0.0230461, 509.16, 524, 1, -145, 3
50206.25, 66.347689, 322.055694, 63.0529, -0.0163219, 0.0181618, 239.94, 202, 3, 0, 0
50206.50, 66.348439, 322.055224, 53.7558, -0.1150975, -0.0487700, 291.93, 517, 1, 79, 1
50206.50, 66.347443, 322.054848, 63.0207, -0.0178378, 0.0074483, 190.48, 320, 2, -33, 2
50206.50, 66.346446, 322.054472, 61.1346, 0.2539373, -0.0411428, 603.98, 527, 0, -145, 3
50206.50, 66.347733, 322.054958, 62.3413, -0.0528743, 0.0035233, 161.29, 224, 2, 0, 0
50206.75, 66.348485, 322.054491, 54.7780, -0.1200287, -0.0445959, 331.47, 523, 0, 79, 1
50206.75, 66.347489, 322.054112, 63.5396, -0.0216738, -0.0290767, 243.17, 317, 4, -33, 2
50206.75, 66.346494, 322.053733, 61.6287, 0.2311158, 0.1076848, 589.45, 545, 0, -144, 3
50206.75, 66.347778, 322.054222, 62.3512, -0.0776145, -0.0215412, 189.75, 229, 4, 0, 0
50207.00, 66.348532, 322.053757, 54.7860, -0.1167017, 0.0041689, 338.24, 532, 0, 80, 1
50207.00, 66.347537, 322.053376, 62.9115, 0.0314345, 0.1112550, 455.96, 317, 0, -32, 2
50207.00, 66.346543, 322.052994, 57.0520, 0.0950899, 0.1207337, 613.52, 544, 0, -144, 3
50207.00, 66.347823, 322.053485, 63.2370, -0.0692530, -0.0343874, 388.86, 227, 3, 0, 0
50207.25, 66.348577, 322.053022, 51.8204, -0.0643527, 0.0821482, 309.18, 524, 1, 80, 1
50207.25, 66.347583, 322.052640, 57.5725, 0.0427839, 0.2457423, 410.47, 304, 1, -32, 2
50207.25, 66.346588, 322.052257, 51.2443, -0.0579435, 0.0067685, 341.86, 526, 18, -144, 3
50207.25, 66.347869, 322.052750, 58.5695, -0.0744601, 0.2922452, 450.24, 217, 0, 0, 0
50207.50, 66.348625, 322.052287, 49.0298, 0.0276564, -0.0221709, 172.05, 500, 11, 80, 1
50207.50, 66.347630, 322.051903, 51.1961, -0.0146760, 0.1269994, 290.53, 268, 4, -32, 2
50207.50, 66.346636, 322.051519, 50.8074, -0.0542500, -0.0058262, 287.62, 553, 0, -144, 3
50207.50, 66.347915, 322.052013, 50.9083, -0.0150958, 0.1414890, 310.88, 194, 3, 0, 0
50207.75, 66.348670, 322.051553, 48.7026, 0.0089547, 0.0275179, 122.86, 483, 27, 80, 1
50207.75, 66.347675, 322.051165, 49.3852, -0.0183812, -0.0532500, 167.18, 278, 3, -32, 2
50207.75, 66.346680, 322.050777, 50.8272, -0.0114608, 0.0653084, 303.46, 546, 0, -144, 3
50207.75, 66.347961, 322.051276, 48.4673, -0.0072604, -0.0068929, 79.00, 194, 11, 0, 0
50208.00, 66.348715, 322.050817, 48.4198, 0.0040611, -0.0099906, 51.26, 481, 44, 80, 1
50208.00, 66.347720, 322.050427, 49.3419, -0.0214559, 0.0396524, 156.83, 288, 5, -32, 2
50208.00, 66.346726, 322.050036, 49.3567, 0.0108166, 0.0076542, 150.87, 522, 16, -144, 3
50208.00, 66.348007, 322.050539, 48.5417, -0.0042949, 0.0061742, 82.50, 208, 13, 0, 0
50208.25, 66.348761, 322.050081, 48.9805, 0.0007762, -0.0016922, 118.10, 495, 43, 80, 1
50208.25, 66.347767, 322.049689, 48.6555, 0.0037817, -0.0159252, 86.57, 278, 18, -32, 2
50208.25, 66.346772, 322.049297, 48.9419, -0.0081024, -0.0042981, 105.33, 524, 12, -144, 3
50208.25, 66.348053, 322.049802, 48.6042, 0.0081333, -0.0089465, 73.79, 209, 12, 0, 0
50208.50, 66.348808, 322.049347, 49.8723, -0.0011100, -0.0172343, 188.80, 500, 37, 80, 1
50208.50, 66.347814, 322.048952, 49.2865, -0.0084376, -0.0038017, 132.59, 299, 18, -32, 2
50208.50, 66.346820, 322.048558, 49.4256, 0.0028473, -0.0024823, 140.13, 523, 9, -144, 3
50208.50, 66.348100, 322.049066, 49.0139, 0.0134909, -0.0058753, 94.12, 222, 6, 0, 0
50208.75, 66.348861, 322.048613, 49.3259, -0.0073332, 0.0203051, 118.25, 488, 38, 80, 1
50208.75, 66.347865, 322.048216, 49.5363, -0.0101536, -0.0005936, 149.86, 299, 13, -32, 2
50208.75, 66.346869, 322.047820, 49.8861, -0.0007048, -0.0133450, 198.21, 532, 4, -144, 3
50208.75, 66.348148, 322.048329, 49.1962, 0.0099870, 0.0017457, 93.04, 216, 5, 0, 0
50209.00, 66.348910, 322.047876, 49.6068, 0.0032388, -0.0419804, 168.69, 511, 2, 80, 1
50209.00, 66.347914, 322.047479, 50.1549, -0.0076510, -0.0402741, 176.08, 276, 5, -32, 2
50209.00, 66.346919, 322.047082, 50.8679, -0.0258203, -0.0561960, 320.27, 536, 1, -144, 3
50209.00, 66.348195, 322.047591, 49.6838, -0.0073364, -0.0277280, 139.12, 199, 4, 0, 0
50209.25, 66.348964, 322.047144, 49.9134, -0.0125197, 0.0149239, 204.52, 518, 4, 81, 1
50209.25, 66.347969, 322.046744, 50.2188, -0.0093841, 0.0137666, 185.47, 269, 6, -31, 2
50209.25, 66.346974, 322.046343, 50.6359, -0.0329427, 0.0904749, 306.76, 540, 1, -143, 3
50209.25, 66.348243, 322.046854, 50.3301, 0.0019103, -0.0161817, 196.48, 197, 2, 0, 0
50209.50, 66.349014, 322.046408, 48.7857, -0.0050825, 0.0067919, 89.77, 494, 49, 81, 1
50209.50, 66.348018, 322.046006, 51.5800, -0.0329680, -0.0988205, 358.64, 288, 8, -31, 2
50209.50, 66.347022, 322.045604, 50.9823, 0.0247915, -0.1148700, 275.29, 542, 4, -143, 3
50209.50, 66.348291, 322.046116, 49.8615, 0.0030593, 0.0262207, 137.72, 192, 19, 0, 0
50209.75, 66.349066, 322.045674, 48.7841, 0.0035779, -0.0037637, 104.27, 501, 48, 82, 1
50209.75, 66.348070, 322.045269, 54.6734, -0.0817117, -0.0738243, 429.75, 295, 5, -30, 2
50209.75, 66.347074, 322.044864, 53.8735, 0.0176101, -0.0692242, 345.47, 536, 0, -142, 3
50209.75, 66.348339, 322.045378, 52.1660, -0.1370606, -0.0883522, 391.94, 214, 3, 0, 0
50210.00, 66.349120, 322.044938, 49.8904, -0.0060146, -0.0156580, 215.74, 487, 57, 83, 1
50210.00, 66.348128, 322.044535, 54.6902, -0.1056934, 0.0310508, 364.61, 302, 2, -29, 2
50210.00, 66.347137, 322.044132, 54.4947, 0.0006973, 0.0304493, 294.54, 551, 0, -141, 3
50210.00, 66.348387, 322.044640, 52.1522, -0.1601459, 0.0574953, 339.38, 227, 0, 0, 0
50210.25, 66.349169, 322.044203, 53.7754, -0.0652124, -0.0517265, 471.35, 523, 11, 83, 1
50210.25, 66.348175, 322.043795, 52.2672, -0.0957139, 0.0904921, 332.08, 313, 3, -29, 2
50210.25, 66.347181, 322.043387, 54.4828, 0.0436117, 0.0401687, 415.81, 552, 11, -141, 3
50210.25, 66.348436, 322.043903, 50.1172, -0.0450458, 0.0505105, 281.07, 222, 10, 0, 0
50210.50, 66.349219, 322.043469, 54.3805, -0.1097834, 0.0190661, 400.24, 520, 15, 83, 1
50210.50, 66.348225, 322.043057, 49.5333, 0.0072431, 0.0070681, 202.01, 273, 33, -29, 2
50210.50, 66.347230, 322.042645, 52.0804, 0.0284580, 0.1129995, 354.29, 541, 20, -141, 3
50210.50, 66.348484, 322.043164, 52.9286, 0.2216030, -0.1095444, 469.54, 216, 1, 0, 0
50210.75, 66.349270, 322.042733, 50.2392, -0.0281014, 0.0134375, 130.85, 481, 53, 83, 1
50210.75, 66.348275, 322.042318, 49.2421, 0.0105681, -0.0009528, 120.47, 279, 27, -29, 2
50210.75, 66.347280, 322.041904, 48.7583, -0.0067128, 0.0057669, 80.27, 525, 41, -141, 3
50210.75, 66.348534, 322.042426, 52.6976, 0.1455684, 0.1657875, 536.66, 214, 1, 0, 0
50211.00, 66.349321, 322.041995, 49.0116, -0.0093307, 0.0182175, 98.72, 505, 26, 83, 1
50211.00, 66.348326, 322.041581, 50.0298, -0.0106843, -0.0382009, 209.19, 294, 8, -29, 2
50211.00, 66.347331, 322.041167, 49.8793, 0.0172543, -0.0339032, 164.67, 558, 9, -141, 3
50211.00, 66.348583, 322.041688, 49.3585, -0.0063938, 0.0092023, 132.92, 211, 8, 0, 0
50211.25, 66.349373, 322.041260, 49.1470, -0.0055942, -0.0266569, 120.69, 515, 14, 83, 1
50211.25, 66.348378, 322.040842, 51.7454, -0.0490190, -0.0364299, 270.15, 304, 0, -29, 2
50211.25, 66.347383, 322.040425, 51.4331, 0.0454870, 0.0008207, 237.35, 557, 2, -141, 3
50211.25, 66.348633, 322.040949, 49.7995, 0.0070686, -0.0241098, 181.64, 213, 4, 0, 0
50211.50, 66.349428, 322.040525, 49.5745, -0.0085594, 0.0066637, 157.78, 533, 3, 84, 1
50211.50, 66.348432, 322.040105, 51.4255, -0.0407951, 0.0456477, 262.30, 309, 0, -28, 2
50211.50, 66.347436, 322.039685, 52.3106, 0.0542680, -0.0206931, 284.19, 543, 0, -141, 3
50211.50, 66.348683, 322.040211, 50.1960, 0.0039208, 0.0150878, 219.77, 216, 1, 0, 0
50211.75, 66.349482, 322.039789, 49.3212, 0.0071030, -0.0033395, 149.58, 547, 0, 84, 1
50211.75, 66.348486, 322.039367, 50.5621, 0.0034234, 0.0160042, 231.11, 312, 1, -28, 2
50211.75, 66.347491, 322.038946, 50.9655, 0.0019064, 0.0600637, 268.80, 548, 0, -140, 3
50211.75, 66.348733, 322.039472, 50.3862, -0.0015094, -0.0028961, 209.49, 218, 3, 0, 0
50212.00, 66.349535, 322.039052, 49.2666, 0.0055337, 0.0006979, 144.50, 556, 2, 85, 1
50212.00, 66.348540, 322.038629, 51.0273, 0.0240472, -0.0407627, 187.93, 297, 9, -27, 2
50212.00, 66.347544, 322.038206, 49.3607, -0.0017307, -0.0157347, 145.47, 521, 37, -140, 3
50212.00, 66.348784, 322.038733, 51.0926, -0.0097683, -0.0344628, 164.82, 211, 5, 0, 0
50212.25, 66.349586, 322.038315, 49.0020, 0.0091413, -0.0019953, 99.64, 531, 16, 85, 1
50212.25, 66.348592, 322.037891, 50.0829, -0.0025687, 0.0555379, 152.59, 275, 17, -27, 2
50212.25, 66.347599, 322.037466, 49.4586, -0.0070341, 0.0097174, 149.45, 521, 31, -139, 3
50212.25, 66.348834, 322.037994, 50.0307, -0.0288905, 0.0496807, 133.47, 202, 8, 0, 0
50212.50, 66.349639, 322.037578, 49.3311, 0.0122131, -0.0168667, 89.95, 523, 6, 85, 1
50212.50, 66.348645, 322.037151, 48.6764, -0.0021660, -0.0001439, 59.88, 273, 24, -27, 2
50212.50, 66.347652, 322.036724, 49.9977, 0.0073196, -0.0360200, 189.29, 525, 18, -139, 3
50212.50, 66.348885, 322.037254, 48.5977, -0.0050845, -0.0068921, 51.65, 195, 19, 0, 0
50212.75, 66.349692, 322.036840, 50.1371, 0.0010279, -0.0187671, 113.51, 527, 8, 85, 1
50212.75, 66.348699, 322.036412, 49.0214, 0.0025251, -0.0156431, 96.54, 281, 25, -27, 2
50212.75, 66.347705, 322.035984, 53.1428, 0.0879883, -0.0423160, 296.09, 543, 9, -139, 3
50212.75, 66.348936, 322.036515, 49.1459, 0.0127100, -0.0142605, 101.31, 212, 5, 0, 0
50213.00, 66.349747, 322.036104, 50.9839, -0.0045920, -0.0142521, 150.56, 515, 17, 86, 1
50213.00, 66.348753, 322.035674, 50.6853, 0.0484643, -0.0434898, 261.83, 297, 7, -26, 2
50213.00, 66.347760, 322.035243, 53.1094, 0.0705634, 0.0663320, 290.43, 551, 8, -139, 3
50213.00, 66.348987, 322.035775, 51.7382, 0.0875984, -0.0828193, 299.73, 217, 0, 0, 0
50213.25, 66.349803, 322.035367, 51.2311, -0.0056086, 0.0154123, 198.31, 511, 18, 86, 1
50213.25, 66.348808, 322.034936, 50.9617, 0.0466180, 0.0554092, 231.34, 298, 1, -26, 2
50213.25, 66.347813, 322.034504, 49.8115, -0.0049930, 0.0030033, 167.08, 514, 32, -138, 3
50213.25, 66.349039, 322.035036, 52.7035, 0.0961064, 0.0926703, 261.19, 219, 1, 0, 0
50213.50, 66.349867, 322.034634, 50.5844, -0.0002272, 0.0170887, 168.53, 506, 26, 88, 1
50213.50, 66.348869, 322.034199, 50.7079, 0.0330507, -0.0074273, 214.18, 306, 3, -25, 2
50213.50, 66.347870, 322.033764, 49.6351, -0.0040516, -0.0016955, 139.17, 521, 21, -138, 3
50213.50, 66.349091, 322.034296, 51.7778, 0.0845202, 0.0156968, 265.90, 222, 0, 0, 0
50213.75, 66.349925, 322.033897, 50.3157, -0.0085555, 0.0113281, 130.60, 499, 23, 88, 1
50213.75, 66.348929, 322.033462, 51.4700, 0.0169936, -0.0172429, 269.93, 290, 6, -24, 2
50213.75, 66.347934, 322.033028, 50.9504, -0.0178950, -0.0579747, 242.66, 534, 9, -136, 3
50213.75, 66.349143, 322.033556, 51.5898, 0.0494924, 0.0266071, 289.44, 210, 1, 0, 0
50214.00, 66.349981, 322.033160, 50.9721, 0.0255262, -0.0541060, 260.05, 473, 34, 89, 1
50214.00, 66.348993, 322.032725, 52.1883, -0.0379107, -0.0368728, 297.49, 264, 3, -23, 2
50214.00, 66.348006, 322.032291, 52.8443, -0.0346401, -0.0352503, 283.68, 517, 12, -134, 3
50214.00, 66.349195, 322.032814, 50.7395, 0.0078793, -0.0037047, 219.23, 187, 3, 0, 0
50214.25, 66.350035, 322.032422, 53.4738, 0.0597278, -0.0307041, 417.86, 518, 2, 89, 1
50214.25, 66.349048, 322.031986, 51.7327, -0.0447979, 0.0230535, 254.61, 290, 1, -23, 2
50214.25, 66.348060, 322.031550, 52.2329, -0.0274064, 0.0642140, 250.93, 525, 15, -134, 3
50214.25, 66.349247, 322.032074, 50.4920, -0.0175072, -0.0042427, 174.96, 200, 5, 0, 0
50214.50, 66.350108, 322.031691, 54.5558, -0.0154924, 0.0398674, 404.94, 529, 0, 91, 1
